Symbol,Total_Records,Date_Range_Start,Date_Range_End,Avg_Price,Min_Price,Max_Price,Price_Volatility,Avg_Change_Pct,Max_Gain,Max_Loss
ABB,2465,2015-06-08 00:00:00+05:30,2025-06-02 00:00:00+05:30,2356.840546533302,705.23681640625,8953.125,1998.4452242756345,0.08885278520133764,14.479583638770896,-12.159154406124353
ADANIENSOL,438,2023-08-16 00:00:00+05:30,2025-06-03 00:00:00+05:30,931.192465168156,600.75,1275.199951171875,136.87945069598615,0.07187465925983301,19.995574833038084,-19.99885149839192
ADANIENT,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1095.227381765794,31.00347328186035,4159.4599609375,1222.9995657758836,0.21170924834970237,27.36796857257345,-28.196972792289387
ADANIGREEN,1717,2018-06-18 00:00:00+05:30,2025-06-03 00:00:00+05:30,999.7465057139766,25.200000762939453,2970.5,738.2044867056975,0.26412827293864777,21.77153089337912,-20.0
ADANIPORTS,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,588.8984934798316,164.05023193359375,1590.1500244140625,354.8049894617115,0.09394239552006906,15.301876247750066,-21.149658939385542
ADANIPOWER,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,169.29146388441396,15.449999809265137,874.5,201.40483693062166,0.1759831936742963,25.26095634377764,-26.456313893284587
AMBUJACEM,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,310.8071990063397,125.00345611572266,695.0,147.50280672257318,0.06321203937218187,12.200199349024953,-17.32941665009181
APOLLOHOSP,2465,2015-06-08 00:00:00+05:30,2025-06-02 00:00:00+05:30,2951.132816560757,904.9485473632812,7426.24658203125,2037.6675795971444,0.0921261958597617,15.494466273282605,-14.989541274506085
ASIANPAINT,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1973.3422294919894,648.7615356445312,3497.630126953125,894.9911012126831,0.05999263340926048,8.852742307984256,-14.02793553222616
AXISBANK,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,710.8511897177592,301.8348693847656,1317.300048828125,232.34900687896393,0.05391471417823612,19.480712241627067,-27.91078890632781
BAJAJ-AUTO,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,3733.465893425984,1690.3878173828125,12666.400390625,2336.2305264409597,0.07860467376641926,12.110634014784331,-13.680145813272068
BAJAJFINSV,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,962.0038917708571,148.69357299804688,2105.0,568.0112516482727,0.12718406019327952,11.453376475802528,-25.862129006013085
BAJAJHFL,177,2024-09-16 00:00:00+05:30,2025-06-03 00:00:00+05:30,127.37299441752461,105.73999786376952,181.5,13.754136306667162,-0.13563183405969162,10.0,-9.674639265422066
BAJAJHLDNG,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,4260.705551852855,1113.8873291015625,13978.0,2916.5091348767,0.11988659950286733,11.768083675578255,-19.99870237850326
BAJFINANCE,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,4140.461635159557,431.4369201660156,9265.8251953125,2597.3861359337675,0.14925901150312537,10.965500483048732,-23.2308019253483
BANKBARODA,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,136.53914634908782,33.472965240478516,288.8856201171875,58.86629851828291,0.05991396514764798,31.43556729400035,-16.400074412087466
BEL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,82.6365145515448,17.743061065673828,390.4500122070313,83.96404393649796,0.1334572124770908,11.29457249309179,-19.802287764726785
BHARTIARTL,2465,2015-06-08 00:00:00+05:30,2025-06-02 00:00:00+05:30,626.2145620102331,249.5491943359375,1901.0,408.90979717379395,0.08482865820713234,11.290753840425287,-11.952880385860803
BOSCHLTD,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,18637.18340029875,7757.373046875,38795.6015625,5960.884994593155,0.03610317657722384,11.994811712628664,-12.672212942385263
BPCL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,163.2747973668701,72.359619140625,362.7818298339844,60.53690524833999,0.07817498701871876,15.341220242487028,-19.885253191312778
BRITANNIA,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,3107.0608497242183,1135.072509765625,6446.0498046875,1307.9913828509739,0.07504573585250876,10.611124208452848,-13.370207238510046
CANBK,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,53.02690503467705,13.783421516418455,124.86282348632812,25.252548139293786,0.06997168683206906,38.72597853754024,-20.93506911537873
CGPOWER,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,185.42799820884494,4.851115703582764,856.4457397460938,213.21267826959658,0.1465131671786626,19.992333763686897,-21.73393639546271
CHOLAFIN,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,539.0611604070237,111.52704620361328,1665.199951171875,424.6434685805844,0.13970684743340783,15.5172344423299,-29.59895890978004
CIPLA,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,809.8328754087821,361.7729187011719,1680.5,343.4606140613268,0.05149790290860127,13.037521825121384,-8.825665222435685
COALINDIA,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,185.04093260196584,71.06163024902344,512.1467895507812,104.41086496948387,0.04843483501657183,8.994391766744304,-13.75037384582519
DABUR,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,432.0905797669101,217.0500640869141,664.1154174804688,119.68748375401661,0.041158065082858956,11.62928052866515,-10.869818690608056
