Date,DAYOPEN,DAYHIGH,DAYLOW,LTP,VOLUME(QUANTITY MN),Dividends,Stock Splits,Symbol,PREVCLOSE,CHNG,%CHNG,TURNOVER(INR MN),52W HIGH,52W LOW,open,high,low,close,volume,aroon_up,aroon_down,aroon_indicator,bb_bbm,bb_bbh,bb_bbl,bb_bbw,bb_bbp,bb_bbhi,bb_bbli,coppock_curve,ema_9,ema_12,ema_21,ema_26,ema_50,ema_200,macd,macd_signal,macd_diff,psar,psar_up,psar_down,psar_up_indicator,psar_down_indicator,macd_buy,macd_sell,aroon_buy,aroon_sell,psar_buy,psar_sell,ema_buy,ema_sell
2024-11-14 00:00:00+05:30,473.1499938964844,489.3999938964844,418.6000061035156,430.7000122070313,56141395,0.0,0.0,SWIGGY,456.0,-25.29998779296875,-5.5482429370545505,24180.099511819764,456.0,430.7000122070313,473.1499938964844,489.3999938964844,418.6000061035156,430.7000122070313,56141395,,,,,,,,,0.0,0.0,,,,,,,,,,,430.7000122070313,,,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-18 00:00:00+05:30,416.1000061035156,438.7000122070313,410.3999938964844,420.1000061035156,28579217,0.0,0.0,SWIGGY,430.7000122070313,-10.600006103515623,-2.4611111685830083,12006.129236133698,456.0,420.1000061035156,416.1000061035156,438.7000122070313,410.3999938964844,420.1000061035156,28579217,,,,,,,,,0.0,0.0,,,,,,,,,,,420.1000061035156,,,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-19 00:00:00+05:30,424.0,430.8999938964844,408.8500061035156,412.4500122070313,12463968,0.0,0.0,SWIGGY,420.1000061035156,-7.649993896484375,-1.8209935218614024,5140.763753748047,456.0,412.4500122070313,424.0,430.8999938964844,408.8500061035156,412.4500122070313,12463968,,,,,,,,,0.0,0.0,,,,,,,,,,,489.3999938964844,,489.3999938964844,0.0,1.0,0,0,0,0,1,0,0,0
2024-11-21 00:00:00+05:30,409.0,423.7000122070313,402.0,416.8500061035156,11443031,0.0,0.0,SWIGGY,412.4500122070313,4.399993896484375,1.0667944638769409,4770.027542192718,456.0,412.4500122070313,409.0,423.7000122070313,402.0,416.8500061035156,11443031,,,,,,,,,0.0,0.0,,,,,,,,,,,487.788994140625,,487.788994140625,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-22 00:00:00+05:30,414.2000122070313,419.75,410.0,416.6000061035156,3942312,0.0,0.0,SWIGGY,416.8500061035156,-0.25,-0.0599736107327579,1642.367203261963,456.0,412.4500122070313,414.2000122070313,419.75,410.0,416.6000061035156,3942312,,,,,,,,,0.0,0.0,,,,,,,,,,,484.357434375,,484.357434375,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-25 00:00:00+05:30,418.7999877929687,441.3999938964844,417.2000122070313,430.7000122070313,11690777,0.0,0.0,SWIGGY,416.6000061035156,14.100006103515623,3.384542942136226,5035.217796609681,456.0,412.4500122070313,418.7999877929687,441.3999938964844,417.2000122070313,430.7000122070313,11690777,,,,,,,,,0.0,0.0,,,,,,,,,,,481.063137,,481.063137,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-26 00:00:00+05:30,443.0,471.0,438.8999938964844,461.8999938964844,15942914,0.0,0.0,SWIGGY,430.7000122070313,31.199981689453125,7.244016903917743,7364.031879292175,461.8999938964844,412.4500122070313,443.0,471.0,438.8999938964844,461.8999938964844,15942914,,,,,,,,,0.0,0.0,,,,,,,,,,,477.90061152,,477.90061152,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-27 00:00:00+05:30,468.0,508.0,465.5499877929687,499.0499877929687,40301929,0.0,0.0,SWIGGY,461.8999938964844,37.149993896484375,8.042865206187901,20112.67717548309,499.0499877929687,412.4500122070313,468.0,508.0,465.5499877929687,499.0499877929687,40301929,,,,,,,,,0.0,0.0,,,,,,,,,,,402.0,402.0,,1.0,0.0,0,0,0,0,0,1,0,0
2024-11-28 00:00:00+05:30,507.3999938964844,517.0,481.0499877929687,491.5,14951742,0.0,0.0,SWIGGY,499.0499877929687,-7.54998779296875,-1.5128720524287174,7348.781193,499.0499877929687,412.4500122070313,507.3999938964844,517.0,481.0499877929687,491.5,14951742,,,,,,,,,0.0,0.0,,454.32543493562514,,,,,,,,,404.12,404.12,,0.0,0.0,0,0,0,0,0,0,0,0
2024-11-29 00:00:00+05:30,489.9500122070313,493.5,454.6000061035156,470.75,16060894,0.0,0.0,SWIGGY,491.5,-20.75,-4.22177009155646,7560.6658505,499.0499877929687,412.4500122070313,489.9500122070313,493.5,454.6000061035156,470.75,16060894,,,,,,,,,0.0,0.0,,457.61034794850013,,,,,,,,,408.6352,408.6352,,0.0,0.0,0,0,0,0,0,0,0,0
